mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.6,"3 km SSW of Coleville, California",1647019514449,1647052679928,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00835242,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00835242&format=geojson,,,,,reviewed,0,6,nn,00835242,",nn00835242,",",nn,",",origin,phase-data,",5.0,0.05,0.0492,166.06,ml,earthquake,"M 0.6 - 3 km SSW of Coleville, California"
2.0,"55 km N of Petersville, Alaska",1647019335036,1647019715325,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022381veqe,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022381veqe&format=geojson,,,,,automatic,0,62,ak,022381veqe,",ak022381veqe,",",ak,",",origin,phase-data,",,,0.4,,ml,earthquake,"M 2.0 - 55 km N of Petersville, Alaska"
0.71,"17 km SW of Lincoln, Montana",1647018728030,1647032208280,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80540284,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80540284&format=geojson,,,,,reviewed,0,8,mb,80540284,",mb80540284,",",mb,",",origin,phase-data,",10.0,0.135,0.14,92.0,ml,earthquake,"M 0.7 - 17 km SW of Lincoln, Montana"
1.11,"16km NW of Parkfield, CA",1647018585650,1647042254110,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73704236,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73704236&format=geojson,,,,,reviewed,0,19,nc,73704236,",nc73704236,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",30.0,0.02121,0.07,82.0,md,earthquake,"M 1.1 - 16km NW of Parkfield, CA"
1.2,"60 km N of Chase, Alaska",1647018234358,1647018355880,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022381rf6z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022381rf6z&format=geojson,,,,,automatic,0,22,ak,022381rf6z,",ak022381rf6z,",",ak,",",origin,phase-data,",,,0.45,,ml,earthquake,"M 1.2 - 60 km N of Chase, Alaska"
4.3,"231 km E of Levuka, Fiji",1647018120410,1647020672040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h3uy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h3uy&format=geojson,,,,,reviewed,0,284,us,6000h3uy,",us6000h3uy,",",us,",",origin,phase-data,",,3.256,0.79,112.0,mb,earthquake,"M 4.3 - 231 km E of Levuka, Fiji"
5.1,"122 km WSW of Ternate, Indonesia",1647018038216,1647107233040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h3ux,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h3ux&format=geojson,,,,,reviewed,0,400,us,6000h3ux,",us6000h3ux,",",us,",",origin,phase-data,",,1.08,0.79,44.0,mb,earthquake,"M 5.1 - 122 km WSW of Ternate, Indonesia"
2.8,"7 km S of Talkeetna, Alaska",1647017345682,1647034036040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022381fqpe,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022381fqpe&format=geojson,,,,,automatic,0,121,ak,022381fqpe,",us6000h3ur,ak022381fqpe,",",us,ak,",",origin,phase-data,",,,0.88,,ml,earthquake,"M 2.8 - 7 km S of Talkeetna, Alaska"
1.56,"1 km SSE of South Hills, Montana",1647017258020,1647024507670,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80540219,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80540219&format=geojson,,,,,reviewed,0,37,mb,80540219,",mb80540219,",",mb,",",origin,phase-data,",11.0,0.067,0.16,190.0,ml,quarry blast,"M 1.6 Quarry Blast - 1 km SSE of South Hills, Montana"
2.41,"12 km SSE of Volcano, Hawaii",1647016713960,1647023717060,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72947107,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72947107&format=geojson,,,,,reviewed,0,89,hv,72947107,",hv72947107,",",hv,",",origin,phase-data,",29.0,,0.07,75.0,md,earthquake,"M 2.4 - 12 km SSE of Volcano, Hawaii"
0.85,"8km NW of The Geysers, CA",1647016701960,1647019039756,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73704231,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73704231&format=geojson,,,,,automatic,0,11,nc,73704231,",nc73704231,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.00794,0.01,139.0,md,earthquake,"M 0.9 - 8km NW of The Geysers, CA"
1.13,"8 km SSE of Lincoln, Montana",1647016458010,1647023879110,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80540239,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80540239&format=geojson,,,,,reviewed,0,20,mb,80540239,",mb80540239,",",mb,",",origin,phase-data,",14.0,0.03,0.09,91.0,ml,earthquake,"M 1.1 - 8 km SSE of Lincoln, Montana"
4.0,"135 km SE of Tondano, Indonesia",1647016397305,1647721720040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h3tv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h3tv&format=geojson,,,,,reviewed,0,246,us,6000h3tv,",us6000h3tv,",",us,",",origin,phase-data,",,1.637,0.72,78.0,mb,earthquake,"M 4.0 - 135 km SE of Tondano, Indonesia"
0.9,"56 km E of Pedro Bay, Alaska",1647016315854,1647017303101,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022381bzr5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022381bzr5&format=geojson,,,,,automatic,0,12,ak,022381bzr5,",ak022381bzr5,",",ak,",",origin,phase-data,",,,0.29,,ml,earthquake,"M 0.9 - 56 km E of Pedro Bay, Alaska"
0.2,"4km W of Cobb, CA",1647016258080,1647030732891,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73704226,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73704226&format=geojson,,,,,reviewed,0,1,nc,73704226,",nc73704226,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.007679,0.03,82.0,md,earthquake,"M 0.2 - 4km W of Cobb, CA"
1.34,"7km NW of Pinnacles, CA",1647016092630,1647039794863,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73704221,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73704221&format=geojson,,,,,reviewed,0,28,nc,73704221,",nc73704221,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.0126,0.06,120.0,md,earthquake,"M 1.3 - 7km NW of Pinnacles, CA"
4.4,"89 km NNW of Ternate, Indonesia",1647015553206,1647033050040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h3tt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h3tt&format=geojson,,,,,reviewed,0,298,us,6000h3tt,",us6000h3tt,",",us,",",origin,phase-data,",,0.817,0.7,54.0,mb,earthquake,"M 4.4 - 89 km NNW of Ternate, Indonesia"
4.8,"261 km SSE of Isangel, Vanuatu",1647015417088,1647016377040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h3ts,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h3ts&format=geojson,,,,,reviewed,0,354,us,6000h3ts,",us6000h3ts,",",us,",",origin,phase-data,",,3.052,0.9,98.0,mb,earthquake,"M 4.8 - 261 km SSE of Isangel, Vanuatu"
1.96,"8km NNE of Olancha, CA",1647014902520,1647025361900,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40205184,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40205184&format=geojson,,,,,reviewed,0,59,ci,40205184,",ci40205184,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",28.0,0.1288,0.13,78.0,ml,earthquake,"M 2.0 - 8km NNE of Olancha, CA"
2.6,"2 km SW of Houston, Alaska",1647014718737,1647033553040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0223816c9b,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0223816c9b&format=geojson,,,,,automatic,0,104,ak,0223816c9b,",us6000h3th,ak0223816c9b,",",us,ak,",",origin,phase-data,",,,0.5,,ml,earthquake,"M 2.6 - 2 km SW of Houston, Alaska"
0.84,"2km SW of Diamond Bar, CA",1647014686330,1647024843514,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40205168,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40205168&format=geojson,,,,,reviewed,0,11,ci,40205168,",ci40205168,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.07917,0.21,195.0,ml,earthquake,"M 0.8 - 2km SW of Diamond Bar, CA"
0.56,"17km W of Searles Valley, CA",1647014384710,1647024556483,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40205160,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40205160&format=geojson,,,,,reviewed,0,5,ci,40205160,",ci40205160,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.04206,0.07,93.0,ml,earthquake,"M 0.6 - 17km W of Searles Valley, CA"
1.5,"10 km NNW of Nikiski, Alaska",1647014086516,1647014569498,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022380vgw6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022380vgw6&format=geojson,,,,,automatic,0,35,ak,022380vgw6,",ak022380vgw6,",",ak,",",origin,phase-data,",,,0.89,,ml,earthquake,"M 1.5 - 10 km NNW of Nikiski, Alaska"
-0.31,"13km S of Trona, CA",1647013974000,1647020644193,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40205152,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40205152&format=geojson,,,,,reviewed,0,0,ci,40205152,",ci40205152,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",4.0,0.08268,0.07,185.0,ml,earthquake,"M -0.3 - 13km S of Trona, CA"
0.35,"6km W of Cobb, CA",1647013838490,1647020654813,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73704211,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73704211&format=geojson,,,,,automatic,0,2,nc,73704211,",nc73704211,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.01214,0.04,76.0,md,earthquake,"M 0.4 - 6km W of Cobb, CA"
1.02,"17km WNW of Progreso, B.C., MX",1647013777870,1647024450474,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40205136,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40205136&format=geojson,,,,,reviewed,0,16,ci,40205136,",ci40205136,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.03647,0.09,203.0,ml,earthquake,"M 1.0 - 17km WNW of Progreso, B.C., MX"
4.5,"43 km S of Tinogasta, Argentina",1647013706155,1647721486040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h55i,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h55i&format=geojson,,,,,reviewed,0,312,us,6000h55i,",us6000h55i,",",us,",",origin,phase-data,",,2.157,1.08,76.0,mb,earthquake,"M 4.5 - 43 km S of Tinogasta, Argentina"
1.83000004,"3 km S of P?hala, Hawaii",1647013193980,1647013394070,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72947082,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72947082&format=geojson,,,,,automatic,0,52,hv,72947082,",hv72947082,",",hv,",",origin,phase-data,",42.0,,0.140000001,90.0,md,earthquake,"M 1.8 - 3 km S of P?hala, Hawaii"
-0.57,"62 km ENE of Pedro Bay, Alaska",1647013013080,1647102287530,,https://earthquake.usgs.gov/earthquakes/eventpage/av91509496,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91509496&format=geojson,,,,,reviewed,0,0,av,91509496,",av91509496,",",av,",",origin,phase-data,",4.0,,0.08,191.0,ml,earthquake,"M -0.6 - 62 km ENE of Pedro Bay, Alaska"
0.7,"2km NNE of The Geysers, CA",1647012448780,1647019039635,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73704206,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73704206&format=geojson,,,,,automatic,0,8,nc,73704206,",nc73704206,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.01182,0.02,87.0,md,earthquake,"M 0.7 - 2km NNE of The Geysers, CA"
0.91,"6 km SSE of Lincoln, Montana",1647011154810,1647031800070,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80540279,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80540279&format=geojson,,,,,reviewed,0,13,mb,80540279,",mb80540279,",",mb,",",origin,phase-data,",12.0,0.02,0.1,101.0,ml,earthquake,"M 0.9 - 6 km SSE of Lincoln, Montana"
2.09,"6 km ESE of Camden, South Carolina",1647010997330,1647485038938,,https://earthquake.usgs.gov/earthquakes/eventpage/se60147043,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=se60147043&format=geojson,26.0,2.8,,,reviewed,0,74,se,60147043,",us6000h3ss,se60147043,",",us,se,",",dyfi,origin,phase-data,",10.0,0.1554,0.28,87.0,md,earthquake,"M 2.1 - 6 km ESE of Camden, South Carolina"
0.39,"17km WSW of Toms Place, CA",1647010957010,1647022281012,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73704196,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73704196&format=geojson,,,,,reviewed,0,2,nc,73704196,",nc73704196,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.1015,0.11,127.0,md,earthquake,"M 0.4 - 17km WSW of Toms Place, CA"
1.07,"30 km NW of Enterprise, Utah",1647010879760,1647032504766,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60485357,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60485357&format=geojson,,,,,reviewed,0,18,uu,60485357,",nn00835221,uu60485357,",",nn,uu,",",origin,phase-data,",5.0,0.2886,0.1,143.0,md,earthquake,"M 1.1 - 30 km NW of Enterprise, Utah"
0.71,"7km NNW of San Jacinto, CA",1647010559790,1647023816420,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40205080,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40205080&format=geojson,,,,,reviewed,0,8,ci,40205080,",ci40205080,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.1284,0.1,103.0,ml,earthquake,"M 0.7 - 7km NNW of San Jacinto, CA"
3.22,Dominican Republic region,1647010534400,1647033320040,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71339828,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71339828&format=geojson,,,,,reviewed,0,160,pr,71339828,",us6000h3sw,pr71339828,",",us,pr,",",origin,phase-data,",11.0,,0.81,202.0,md,earthquake,M 3.2 - Dominican Republic region
0.74,"11km NE of Coso Junction, CA",1647009478520,1647023628850,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40205072,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40205072&format=geojson,,,,,reviewed,0,8,ci,40205072,",ci40205072,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.01869,0.04,106.0,ml,earthquake,"M 0.7 - 11km NE of Coso Junction, CA"
0.31,"6 km SW of Benton City, Washington",1647008939550,1647380001040,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61821781,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61821781&format=geojson,,,,,reviewed,0,1,uw,61821781,",uw61821781,",",uw,",",origin,phase-data,",4.0,0.1078,0.31,311.0,ml,earthquake,"M 0.3 - 6 km SW of Benton City, Washington"
4.9,"8 km E of Andop, Philippines",1647008065753,1647135752297,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h3sn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h3sn&format=geojson,11.0,6.4,,,reviewed,0,376,us,6000h3sn,",us6000h3sn,",",us,",",dyfi,origin,phase-data,",,0.816,0.99,104.0,mb,earthquake,"M 4.9 - 8 km E of Andop, Philippines"
0.63,"6km NW of The Geysers, CA",1647007984100,1647008965591,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73704186,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73704186&format=geojson,,,,,automatic,0,6,nc,73704186,",nc73704186,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.006939,0.01,78.0,md,earthquake,"M 0.6 - 6km NW of The Geysers, CA"
0.89,"5 km NW of Medford, Oklahoma",1647007708280,1647266958919,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022exds,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022exds&format=geojson,,,,,reviewed,0,12,ok,2022exds,",ok2022exds,",",ok,",",origin,phase-data,",30.0,0.06658693337,0.32,132.0,ml,earthquake,"M 0.9 - 5 km NW of Medford, Oklahoma"
-0.64,"13 km W of Akutan, Alaska",1647007343890,1647204979880,,https://earthquake.usgs.gov/earthquakes/eventpage/av91051533,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91051533&format=geojson,,,,,reviewed,0,0,av,91051533,",av91051533,",",av,",",origin,phase-data,",8.0,,0.23,80.0,ml,earthquake,"M -0.6 - 13 km W of Akutan, Alaska"
1.34,"8 km NE of Camargo, Oklahoma",1647006741179,1647264819562,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022exde,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022exde&format=geojson,,,,,reviewed,0,28,ok,2022exde,",ok2022exde,",",ok,",",origin,phase-data,",37.0,0.148470865,0.18,68.0,ml,earthquake,"M 1.3 - 8 km NE of Camargo, Oklahoma"
1.16,"3km W of Cobb, CA",1647006600000,1647038294703,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73704181,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73704181&format=geojson,,,,,reviewed,0,21,nc,73704181,",nc73704181,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",43.0,0.01231,0.06,71.0,md,earthquake,"M 1.2 - 3km W of Cobb, CA"
1.32,"9 km ESE of North Logan, Utah",1647006594540,1647019180150,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60485352,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60485352&format=geojson,,,,,reviewed,0,27,uu,60485352,",uu60485352,",",uu,",",origin,phase-data,",17.0,0.07432,0.13,68.0,ml,earthquake,"M 1.3 - 9 km ESE of North Logan, Utah"
1.17,"6 km SSE of Lincoln, Montana",1647006173400,1647014105330,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80540199,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80540199&format=geojson,,,,,reviewed,0,21,mb,80540199,",mb80540199,",",mb,",",origin,phase-data,",14.0,0.015,0.13,73.0,ml,earthquake,"M 1.2 - 6 km SSE of Lincoln, Montana"
0.86,"6km NE of Ridgemark, CA",1647005126570,1647026894490,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73704166,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73704166&format=geojson,,,,,reviewed,0,11,nc,73704166,",nc73704166,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.05678,0.07,114.0,md,earthquake,"M 0.9 - 6km NE of Ridgemark, CA"
3.61,"79 km NNE of Cruz Bay, U.S. Virgin Islands",1647004607010,1647073328040,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2022070004,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2022070004&format=geojson,,,,,reviewed,0,200,pr,2022070004,",us6000h3st,pr2022070004,",",us,pr,",",origin,phase-data,",6.0,1.0325,0.21,333.0,md,earthquake,"M 3.6 - 79 km NNE of Cruz Bay, U.S. Virgin Islands"
4.4,"69 km NNE of Ruteng, Indonesia",1647004419058,1647767379040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h55j,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h55j&format=geojson,,,,,reviewed,0,298,us,6000h55j,",us6000h55j,",",us,",",origin,phase-data,",,1.582,0.6,75.0,mb,earthquake,"M 4.4 - 69 km NNE of Ruteng, Indonesia"
2.15,"8km NNE of Olancha, CA",1647004192050,1647023531190,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40205000,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40205000&format=geojson,,,,,reviewed,0,71,ci,40205000,",ci40205000,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",30.0,0.1299,0.18,68.0,ml,earthquake,"M 2.2 - 8km NNE of Olancha, CA"
3.79,"79 km NNE of Cruz Bay, U.S. Virgin Islands",1647003853200,1647072661040,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2022070003,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2022070003&format=geojson,,,,,reviewed,0,221,pr,2022070003,",us6000h3sd,pr2022070003,",",us,pr,",",origin,phase-data,",14.0,1.0348,0.39,328.0,md,earthquake,"M 3.8 - 79 km NNE of Cruz Bay, U.S. Virgin Islands"
1.66,"8km NNE of Olancha, CA",1647003796650,1647022726257,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40204992,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40204992&format=geojson,,,,,reviewed,0,42,ci,40204992,",ci40204992,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",23.0,0.1315,0.15,72.0,ml,earthquake,"M 1.7 - 8km NNE of Olancha, CA"
4.3,"280 km WNW of Ozernovskiy, Russia",1647003723485,1647005843040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h3si,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h3si&format=geojson,,,,,reviewed,0,284,us,6000h3si,",us6000h3si,",",us,",",origin,phase-data,",,3.056,0.48,105.0,mb,earthquake,"M 4.3 - 280 km WNW of Ozernovskiy, Russia"
0.8,"37 km SW of Unalaska, Alaska",1647003671870,1647101653150,,https://earthquake.usgs.gov/earthquakes/eventpage/av91509446,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91509446&format=geojson,,,,,reviewed,0,10,av,91509446,",av91509446,",",av,",",origin,phase-data,",6.0,,0.24,213.0,ml,earthquake,"M 0.8 - 37 km SW of Unalaska, Alaska"
1.47,"16 km SSE of Sunnyside, Utah",1647003377670,1647018685240,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60485347,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60485347&format=geojson,,,,,reviewed,0,33,uu,60485347,",uu60485347,",",uu,",",origin,phase-data,",8.0,0.01486,0.13,197.0,ml,earthquake,"M 1.5 - 16 km SSE of Sunnyside, Utah"
1.6,"13 km NE of Ridgeway, Alaska",1647003210448,1647003835925,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02237z2x4i,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02237z2x4i&format=geojson,,,,,automatic,0,39,ak,02237z2x4i,",ak02237z2x4i,",",ak,",",origin,phase-data,",,,0.41,,ml,earthquake,"M 1.6 - 13 km NE of Ridgeway, Alaska"
1.11,"9km W of Saint Helena, CA",1647003200780,1647045374409,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73704146,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73704146&format=geojson,,,,,reviewed,0,19,nc,73704146,",nc73704146,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",35.0,0.06047,0.12,58.0,md,earthquake,"M 1.1 - 9km W of Saint Helena, CA"
0.49,"2km NNW of Palomar Observatory, CA",1647003058010,1647008289132,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40204976,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40204976&format=geojson,,,,,reviewed,0,4,ci,40204976,",ci40204976,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.0248,0.17,77.0,ml,earthquake,"M 0.5 - 2km NNW of Palomar Observatory, CA"
0.56,"13km WNW of Anza, CA",1647002914980,1647022467230,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40204968,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40204968&format=geojson,,,,,reviewed,0,5,ci,40204968,",ci40204968,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.03526,0.09,59.0,ml,earthquake,"M 0.6 - 13km WNW of Anza, CA"
1.15,"3km SW of Anderson Springs, CA",1647002907450,1647011844899,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73704141,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73704141&format=geojson,,,,,automatic,0,20,nc,73704141,",nc73704141,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.004643,0.07,114.0,md,earthquake,"M 1.2 - 3km SW of Anderson Springs, CA"
0.76,"8 km SSE of Lincoln, Montana",1647002799330,1647031234620,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80540274,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80540274&format=geojson,,,,,reviewed,0,9,mb,80540274,",mb80540274,",",mb,",",origin,phase-data,",11.0,0.031,0.09,147.0,ml,earthquake,"M 0.8 - 8 km SSE of Lincoln, Montana"
0.7,"62 km WNW of Ninilchik, Alaska",1647002477877,1647101225370,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02237z0ae2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02237z0ae2&format=geojson,,,,,reviewed,0,8,ak,02237z0ae2,",av91509431,ak02237z0ae2,",",av,ak,",",origin,phase-data,",,,0.6,,ml,earthquake,"M 0.7 - 62 km WNW of Ninilchik, Alaska"
1.3,"29 km S of Mina, Nevada",1647002367153,1647052679000,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00835240,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00835240&format=geojson,,,,,reviewed,0,26,nn,00835240,",nn00835240,",",nn,",",origin,phase-data,",9.0,0.118,0.1462,207.08,ml,earthquake,"M 1.3 - 29 km S of Mina, Nevada"
0.8,"8 km SSE of Lincoln, Montana",1647000984930,1647030729470,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80540264,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80540264&format=geojson,,,,,reviewed,0,10,mb,80540264,",mb80540264,",",mb,",",origin,phase-data,",11.0,0.031,0.11,105.0,ml,earthquake,"M 0.8 - 8 km SSE of Lincoln, Montana"
4.3,"93 km N of Opotiki, New Zealand",1647000982241,1647002536040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h3s3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h3s3&format=geojson,,,,,reviewed,0,284,us,6000h3s3,",us6000h3s3,",",us,",",origin,phase-data,",,0.783,0.69,79.0,mb,earthquake,"M 4.3 - 93 km N of Opotiki, New Zealand"
0.99,"10km N of Banning, CA",1647000963750,1647025740140,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40204952,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40204952&format=geojson,,,,,reviewed,0,15,ci,40204952,",ci40204952,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",45.0,0.05975,0.12,39.0,ml,earthquake,"M 1.0 - 10km N of Banning, CA"
1.0,"7 km SSE of Lincoln, Montana",1647000674740,1647015730940,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80540194,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80540194&format=geojson,,,,,reviewed,0,15,mb,80540194,",mb80540194,",",mb,",",origin,phase-data,",10.0,0.022,0.12,110.0,ml,earthquake,"M 1.0 - 7 km SSE of Lincoln, Montana"
